Pos	Length
10351	370
10352	369
10353	368
10354	367
10355	366
10356	365
10357	364
10358	363
10359	362
10360	361
10361	360
10362	359
10363	358
10364	357
10365	356
10366	355
10367	354
10368	353
10369	352
10370	351
10371	350
10372	349
10373	348
10374	347
10375	346
10376	345
10377	344
10378	343
10379	342
10380	341
10381	340
10382	339
10383	338
10384	337
10385	336
10386	335
10387	334
10388	333
10389	332
10390	331
10391	330
10392	329
10393	328
10394	327
10395	326
10396	325
10397	324
10398	323
10399	322
10400	321
10401	320
10402	319
10403	318
10404	317
10405	316
10406	315
10407	314
10408	313
10409	312
10410	311
10411	310
10412	309
10413	308
10414	307
10415	306
10416	305
10417	304
10418	303
10419	302
10420	301
10421	300
10422	299
10423	298
10424	297
10425	296
10426	295
10427	294
10428	293
10429	292
10430	291
10431	290
10432	289
10433	288
10434	287
10435	286
10436	285
10437	284
10438	283
10439	282
10440	281
10441	280
10442	279
10443	278
10444	277
10445	276
10446	275
10447	274
10448	273
10449	272
10450	271
10451	270
10452	269
10453	268
10454	267
10455	266
10456	265
10457	264
10458	263
10459	262
10460	261
10461	260
10462	259
10463	258
10464	257
10465	256
10466	255
10467	254
10468	253
10469	252
10470	251
10471	250
10472	249
10473	248
10474	247
10475	246
10476	245
10477	244
10478	243
10479	242
10480	241
10481	240
10482	239
10483	238
10484	237
10485	236
10486	235
10487	234
10488	233
10489	232
10490	231
10491	230
10492	628
10493	627
10494	626
10495	625
10496	624
10497	623
10498	622
10499	621
10500	620
10501	619
10502	618
10503	617
10504	616
10505	615
10506	614
10507	613
10508	612
10509	611
10510	610
10511	609
10512	608
10513	607
10514	606
10515	605
10516	604
10517	603
10518	602
10519	601
10520	600
10521	599
10522	598
10523	597
10524	596
10525	595
10526	594
10527	593
10528	592
10529	591
10530	590
10531	589
10532	588
10533	587
10534	586
10535	585
10536	584
10537	583
10538	582
10539	581
10540	580
10541	579
10542	578
10543	577
10544	576
10545	575
10546	574
10547	573
10548	572
10549	571
10550	570
10551	569
10552	568
10553	567
10554	566
10555	565
10556	564
10557	563
10558	562
10559	561
10560	560
10561	559
10562	558
10563	557
10564	556
10565	555
10566	554
10567	553
10568	552
10569	551
10570	550
10571	549
10572	548
10573	547
10574	546
10575	545
10576	544
10577	543
10578	542
10579	541
10580	540
10581	539
10582	538
10583	537
10584	536
10585	535
10586	534
10587	533
10588	532
10589	531
10590	530
10591	529
10592	528
10593	527
10594	526
10595	525
10596	524
10597	523
10598	522
10599	521
10600	520
10601	519
10602	518
10603	517
10604	516
10605	515
10606	514
10607	513
10608	512
10609	511
10610	510
10611	509
10612	508
10613	507
10614	506
10615	505
10616	504
10617	503
10618	502
10619	501
10620	500
10621	499
10622	498
10623	497
10624	496
10625	495
10626	494
10627	493
10628	492
10629	491
10630	490
10631	489
10632	488
10633	487
10634	486
10635	485
10636	484
10637	483
10638	482
10639	481
10640	480
10641	479
10642	478
10643	477
10644	476
10645	475
10646	474
10647	473
10648	472
10649	471
10650	470
10651	469
10652	468
10653	467
10654	466
10655	465
10656	464
10657	463
10658	462
10659	461
10660	460
10661	459
10662	458
10663	457
10664	456
10665	455
10666	454
10667	453
10668	452
10669	451
10670	450
10671	449
10672	448
10673	447
10674	446
10675	445
10676	444
10677	443
10678	442
10679	441
10680	440
10681	439
10682	438
10683	437
10684	436
10685	435
10686	434
10687	433
10688	432
10689	431
10690	430
10691	429
10692	428
10693	427
10694	426
10695	425
10696	424
10697	423
10698	422
10699	421
10700	420
10701	419
10702	418
10703	417
10704	416
10705	415
10706	414
10707	413
10708	412
10709	411
10710	410
10711	409
10712	408
10713	407
10714	406
10715	405
10716	404
10717	403
10718	402
10719	401
10720	400
10721	399
10722	398
10723	397
10724	396
10725	395
10726	394
10727	393
10728	392
10729	391
10730	390
10731	389
10732	388
10733	387
10734	386
10735	385
10736	384
10737	383
10738	382
10739	381
10740	380
10741	379
10742	378
10743	377
10744	376
10745	375
10746	374
10747	373
10748	372
10749	371
10750	370
10751	369
10752	368
10753	367
10754	366
10755	365
10756	364
10757	363
10758	362
10759	361
10760	360
10761	359
10762	358
10763	357
10764	356
10765	355
10766	354
10767	353
10768	352
10769	351
10770	350
10771	349
10772	348
10773	347
10774	346
10775	345
10776	344
10777	343
10778	342
10779	341
10780	340
10781	339
10782	338
10783	337
10784	336
10785	335
10786	334
10787	333
10788	332
10789	331
10790	330
10791	329
10792	328
10793	327
10794	326
10795	325
10796	324
10797	323
10798	322
10799	321
10800	320
10801	319
10802	318
10803	317
10804	316
10805	315
10806	314
10807	313
10808	312
10809	311
10810	310
10811	309
10812	308
10813	307
10814	306
10815	305
10816	304
10817	303
10818	302
10819	301
10820	300
10821	299
10822	298
10823	297
10824	296
10825	295
10826	294
10827	293
10828	292
10829	291
10830	290
10831	289
10832	288
10833	287
10834	286
10835	285
10836	284
10837	283
10838	282
10839	281
10840	280
10841	279
10842	278
10843	277
10844	276
10845	275
10846	274
10847	273
10848	272
10849	271
10850	270
10851	269
10852	268
10853	267
10854	266
10855	265
10856	264
10857	263
10858	262
10859	261
10860	260
10861	259
10862	258
10863	257
10864	256
10865	255
10866	254
10867	253
10868	252
10869	251
10870	250
10871	249
10872	248
10873	247
10874	246
10875	245
10876	244
10877	243
10878	242
10879	241
10880	240
10881	239
10882	238
10883	237
10884	236
10885	235
10886	234
10887	233
10888	232
10889	231
10890	230
10891	229
10892	228
10893	227
10894	226
10895	225
10896	224
10897	223
10898	222
10899	221
10900	220
10901	219
10902	218
10903	217
10904	216
10905	215
10906	214
10907	213
10908	212
10909	211
10910	210
10911	209
10912	208
10913	207
10914	206
10915	205
10916	204
10917	203
10918	202
10919	201
10920	200
10921	199
10922	198
10923	197
10924	196
10925	195
10926	194
10927	193
10928	192
10929	191
10930	190
10931	189
10932	188
10933	187
10934	186
10935	185
10936	184
10937	183
10938	182
10939	181
10940	180
10941	179
10942	178
10943	177
10944	176
10945	175
10946	174
10947	173
10948	172
10949	171
10950	170
10951	169
10952	168
10953	167
10954	166
10955	165
10956	164
10957	163
10958	162
10959	161
10960	160
10961	159
10962	158
10963	157
10964	156
10965	155
10966	154
10967	153
10968	152
10969	151
10970	150
10971	149
10972	148
10973	147
10974	146
10975	145
10976	144
10977	143
10978	142
10979	141
10980	140
10981	139
10982	138
10983	137
10984	136
10985	135
10986	134
10987	133
10988	132
10989	131
10990	130
10991	129
10992	128
10993	127
10994	126
10995	125
10996	124
10997	123
10998	122
10999	121
11000	120
11001	119
11002	118
11003	117
11004	116
11005	115
11006	114
11007	113
11008	112
11009	111
11010	110
11011	109
11012	108
11013	107
11014	106
11015	105
11016	104
11017	103
11018	102
11019	101
11020	100
11021	99
11022	98
11023	97
11024	96
11025	95
11026	94
11027	93
11028	92
11029	91
11030	90
11031	89
11032	88
11033	87
11034	86
11035	85
11036	84
11037	83
11038	82
11039	81
11040	80
11041	79
11042	78
11043	77
11044	76
11045	75
11046	74
11047	73
11048	72
11049	71
11050	70
11051	69
11052	68
11053	67
11054	66
11055	65
11056	64
11057	63
11058	62
11059	61
11060	60
11061	59
11062	58
11063	57
11064	56
11065	55
11066	54
11067	53
11068	52
11069	51
11070	50
11071	49
11072	48
11073	47
11074	46
11075	45
11076	44
11077	43
11078	42
11079	41
11080	40
11081	39
11082	38
11083	37
11084	36
11085	35
11086	34
11087	33
11088	32
11089	31
11090	30
11091	29
11092	28
11093	27
11094	26
11095	25
11096	24
11097	23
11098	22
11099	21
11100	20
11101	19
11102	18
11103	17
11104	16
11105	15
11106	14
11107	13
11108	12
11109	11
11110	10
11111	9
11112	8
11113	7
11114	6
11115	10
11116	9
11117	8
11118	7
11119	6
11120	502
11121	501
11122	500
11123	499
11124	498
11125	497
11126	496
11127	495
11128	494
11129	493
11130	492
11131	491
11132	490
11133	489
11134	488
11135	487
11136	486
11137	485
11138	484
11139	483
11140	482
11141	481
11142	480
11143	479
11144	478
11145	477
11146	476
11147	475
11148	474
11149	473
11150	472
11151	471
11152	470
11153	469
11154	468
11155	467
11156	466
11157	465
11158	464
11159	463
11160	462
11161	461
11162	460
11163	459
11164	458
11165	457
11166	456
11167	455
11168	454
11169	453
11170	452
11171	451
11172	450
11173	449
11174	448
11175	447
11176	446
11177	445
11178	444
11179	443
11180	442
11181	441
11182	440
11183	439
11184	438
11185	437
11186	436
11187	435
11188	434
11189	433
11190	432
11191	431
11192	430
11193	429
11194	428
11195	427
11196	426
11197	425
11198	424
11199	423
11200	422
11201	421
11202	420
11203	419
11204	418
11205	417
11206	416
11207	415
11208	414
11209	413
11210	412
11211	411
11212	410
11213	409
11214	408
11215	407
11216	406
11217	405
11218	404
11219	403
11220	402
11221	401
11222	400
11223	399
11224	398
11225	397
11226	396
11227	395
11228	394
11229	393
11230	392
11231	391
11232	390
11233	389
11234	388
11235	387
11236	386
11237	385
11238	384
11239	383
11240	382
11241	381
11242	380
11243	379
11244	378
11245	377
11246	376
11247	375
11248	374
11249	373
11250	372
11251	371
11252	370
11253	369
11254	368
11255	367
11256	366
11257	365
11258	364
11259	363
11260	362
11261	361
11262	360
11263	359
11264	358
11265	357
11266	356
11267	355
11268	354
11269	353
11270	352
11271	351
11272	350
11273	349
11274	348
11275	347
11276	346
11277	345
11278	344
11279	343
11280	342
11281	341
11282	340
11283	339
11284	338
11285	337
11286	336
11287	335
11288	334
11289	333
11290	332
11291	331
11292	330
11293	329
11294	328
11295	327
11296	326
11297	325
11298	324
11299	323
11300	322
11301	321
11302	320
11303	319
11304	318
11305	317
11306	316
11307	315
11308	314
11309	313
11310	312
11311	311
11312	310
11313	309
11314	308
11315	307
11316	306
11317	305
11318	304
11319	303
11320	302
11321	301
11322	300
11323	299
11324	298
11325	297
11326	296
11327	550
11328	549
11329	548
11330	547
11331	546
11332	545
11333	544
11334	543
11335	542
11336	541
11337	540
11338	539
11339	538
11340	537
11341	536
11342	535
11343	534
11344	533
11345	532
11346	531
11347	530
11348	529
11349	528
11350	527
11351	526
11352	525
11353	524
11354	523
11355	522
11356	521
11357	520
11358	519
11359	518
11360	517
11361	516
11362	515
11363	514
11364	513
11365	512
11366	511
11367	510
11368	509
11369	508
11370	507
11371	506
11372	505
11373	504
11374	503
11375	502
11376	501
11377	500
11378	499
11379	498
11380	497
11381	496
11382	495
11383	494
11384	493
11385	492
11386	491
11387	490
11388	489
11389	488
11390	487
11391	486
11392	485
11393	484
11394	483
11395	482
11396	481
11397	480
11398	479
11399	478
11400	477
11401	476
11402	475
11403	474
11404	473
11405	472
11406	471
11407	478
11408	477
11409	476
11410	475
11411	474
11412	473
11413	472
11414	471
11415	470
11416	469
11417	468
11418	467
11419	466
11420	465
11421	464
11422	463
11423	462
11424	461
11425	460
11426	459
11427	458
11428	457
11429	456
11430	455
11431	454
11432	453
11433	452
11434	451
11435	450
11436	449
11437	448
11438	447
11439	446
11440	445
11441	444
11442	443
11443	442
11444	441
11445	440
11446	439
11447	438
11448	437
11449	436
11450	435
11451	434
11452	433
11453	432
11454	431
11455	430
11456	429
11457	428
11458	427
11459	426
11460	425
11461	424
11462	423
11463	422
11464	421
11465	420
11466	419
11467	418
11468	417
11469	416
11470	415
11471	414
11472	413
11473	412
11474	411
11475	410
11476	409
11477	408
11478	407
11479	406
11480	405
11481	404
11482	403
11483	402
11484	401
11485	400
11486	399
11487	398
11488	397
11489	396
11490	395
11491	394
11492	393
11493	392
11494	391
11495	390
11496	389
11497	388
11498	387
11499	386
11500	385
11501	384
11502	383
11503	382
11504	381
11505	380
11506	379
11507	378
11508	377
11509	376
11510	375
11511	374
11512	373
11513	372
11514	371
11515	370
11516	369
11517	368
11518	367
11519	366
11520	365
11521	364
11522	363
11523	362
11524	361
11525	360
11526	359
11527	358
11528	357
11529	356
11530	355
11531	354
11532	353
11533	352
11534	351
11535	350
11536	349
11537	348
11538	347
11539	346
11540	345
11541	344
11542	343
11543	342
11544	341
11545	340
11546	339
11547	338
11548	337
11549	336
11550	335
11551	334
11552	333
11553	332
11554	331
11555	330
11556	329
11557	328
11558	327
11559	326
11560	325
11561	324
11562	323
11563	322
11564	321
11565	320
11566	319
11567	318
11568	317
11569	316
11570	315
11571	314
11572	313
11573	312
11574	311
11575	310
11576	309
11577	308
11578	307
11579	306
11580	305
11581	304
11582	303
11583	302
11584	301
11585	300
11586	299
11587	298
11588	297
11589	296
11590	295
11591	294
11592	293
11593	292
11594	291
11595	290
11596	289
11597	288
11598	287
11599	286
11600	285
11601	284
11602	283
11603	290
11604	289
11605	288
11606	287
11607	286
11608	285
11609	284
11610	283
11611	282
11612	281
11613	280
11614	279
11615	278
11616	277
11617	276
11618	275
11619	274
11620	273
11621	272
11622	271
11623	270
11624	269
11625	268
11626	267
11627	266
11628	265
11629	264
11630	263
11631	262
11632	261
11633	260
11634	259
11635	258
11636	257
11637	256
11638	255
11639	254
11640	253
11641	252
11642	251
11643	250
11644	249
11645	248
11646	247
11647	246
11648	245
11649	244
11650	243
11651	242
11652	241
11653	240
11654	239
11655	238
11656	237
11657	236
11658	235
11659	234
11660	233
11661	232
11662	231
11663	230
11664	229
11665	228
11666	227
11667	226
11668	225
11669	224
11670	223
11671	222
11672	221
11673	220
11674	219
11675	218
11676	217
11677	216
11678	215
11679	214
11680	213
11681	212
11682	211
11683	210
11684	209
11685	208
11686	207
11687	206
11688	205
11689	204
11690	203
11691	202
11692	201
11693	200
11694	199
11695	198
11696	197
11697	196
11698	195
11699	194
11700	193
11701	192
11702	191
11703	190
11704	189
11705	188
11706	187
11707	186
11708	185
11709	184
11710	183
11711	182
11712	181
11713	180
11714	179
11715	178
11716	177
11717	176
11718	175
11719	174
11720	173
11721	172
11722	171
11723	170
11724	169
11725	168
11726	167
11727	166
11728	165
11729	164
11730	163
11731	162
11732	161
11733	160
11734	159
11735	158
11736	157
11737	156
11738	155
11739	154
11740	153
11741	152
11742	151
11743	150
11744	149
11745	148
11746	147
11747	146
11748	145
11749	144
11750	143
11751	142
11752	141
11753	140
11754	139
11755	138
11756	137
11757	136
11758	135
11759	134
11760	133
11761	132
11762	131
11763	130
11764	129
11765	128
11766	127
11767	126
11768	125
11769	124
11770	123
11771	122
11772	121
11773	120
11774	119
11775	118
11776	117
11777	116
11778	115
11779	114
11780	113
11781	112
11782	111
11783	110
11784	109
11785	108
11786	107
11787	106
11788	105
11789	104
11790	103
11791	102
11792	101
11793	100
11794	99
11795	98
11796	97
11797	96
11798	95
11799	94
11800	93
11801	92
11802	91
11803	90
11804	89
11805	88
11806	87
11807	86
11808	85
11809	84
11810	83
11811	82
11812	81
11813	80
11814	79
11815	78
11816	77
11817	76
11818	75
11819	74
11820	73
11821	72
11822	71
11823	70
11824	69
11825	68
11826	67
11827	66
11828	65
11829	64
11830	63
11831	62
11832	61
11833	60
11834	59
11835	58
11836	57
11837	56
11838	55
11839	54
11840	53
11841	52
11842	51
11843	50
11844	49
11845	48
11846	47
11847	46
11848	45
11849	44
11850	43
11851	42
11852	41
11853	40
11854	39
11855	38
11856	37
11857	36
11858	35
11859	34
11860	33
11861	32
11862	31
11863	30
11864	29
11865	28
11866	27
11867	26
11868	25
11869	24
11870	23
11871	22
11872	21
11873	20
11874	19
11875	18
11876	17
11877	16
11878	15
11879	14
11880	13
11881	12
11882	11
11883	10
11884	9
11885	61
11886	60
11887	59
11888	58
11889	57
11890	56
11891	55
11892	54
11893	53
11894	52
11895	51
11896	50
11897	49
11898	48
11899	47
11900	46
11901	45
11902	44
11903	43
11904	42
11905	41
11906	40
11907	39
11908	38
11909	37
11910	36
11911	35
11912	34
11913	33
11914	32
11915	31
11916	30
11917	29
11918	28
11919	27
11920	26
11921	25
11922	24
11923	23
11924	22
11925	21
11926	20
11927	19
11928	18
11929	17
11930	16
11931	15
11932	14
11933	13
11934	18
11935	17
11936	16
11937	15
11938	14
11939	13
11940	12
11941	11
11942	10
11943	9
11944	8
11945	7
11946	2147483647
11947	2147483647
11948	2147483647
11949	2147483647
11950	2147483647
11951	2147483647
11952	2147483647
11953	2147483647
11954	2147483647
11955	2147483647
11956	2147483647
11957	2147483647
11958	2147483647
11959	2147483647
11960	2147483647
11961	2147483647
11962	2147483647
11963	2147483647
11964	2147483647
11965	2147483647
11966	2147483647
11967	2147483647
11968	2147483647
11969	2147483647
11970	2147483647
11971	2147483647
11972	2147483647
11973	2147483647
11974	2147483647
11975	2147483647
11976	2147483647
11977	2147483647
11978	2147483647
11979	2147483647
11980	2147483647
11981	2147483647
11982	2147483647
11983	2147483647
11984	2147483647
11985	2147483647
11986	2147483647
11987	2147483647
11988	2147483647
11989	2147483647
11990	2147483647
11991	2147483647
11992	2147483647
11993	2147483647
11994	2147483647
11995	2147483647
11996	2147483647
11997	2147483647
11998	2147483647
11999	2147483647
12000	2147483647
12001	2147483647
12002	2147483647
12003	2147483647
12004	2147483647
12005	2147483647
12006	2147483647
12007	2147483647
12008	2147483647
12009	2147483647
12010	2147483647
12011	2147483647
12012	2147483647
12013	2147483647
12014	2147483647
12015	2147483647
12016	2147483647
12017	2147483647
12018	2147483647
12019	2147483647
12020	2147483647
12021	2147483647
12022	2147483647
12023	2147483647
12024	2147483647
12025	2147483647
12026	2147483647
12027	2147483647
12028	2147483647
12029	2147483647
12030	2147483647
12031	2147483647
12032	2147483647
12033	2147483647
12034	2147483647
12035	2147483647
12036	2147483647
12037	2147483647
12038	2147483647
12039	2147483647
12040	2147483647
12041	2147483647
12042	2147483647
12043	2147483647
12044	2147483647
12045	2147483647
12046	2147483647
12047	2147483647
12048	2147483647
12049	2147483647
12050	2147483647
12051	2147483647
12052	2147483647
12053	2147483647
12054	2147483647
12055	2147483647
12056	2147483647
12057	2147483647
12058	2147483647
12059	2147483647
12060	2147483647
12061	2147483647
12062	2147483647
12063	2147483647
12064	2147483647
12065	2147483647
12066	2147483647
12067	2147483647
12068	2147483647
12069	2147483647
12070	2147483647
12071	2147483647
12072	2147483647
12073	2147483647
12074	2147483647
12075	2147483647
12076	2147483647
12077	2147483647
12078	2147483647
12079	2147483647
12080	2147483647
12081	2147483647
12082	2147483647
12083	2147483647
12084	2147483647
12085	2147483647
12086	2147483647
12087	2147483647
12088	2147483647
12089	2147483647
12090	2147483647
12091	2147483647
12092	2147483647
12093	2147483647
12094	2147483647
12095	2147483647
12096	2147483647
12097	2147483647
12098	2147483647
12099	2147483647
12100	2147483647
12101	2147483647
12102	2147483647
12103	2147483647
12104	2147483647
12105	2147483647
12106	2147483647
12107	2147483647
12108	2147483647
12109	2147483647
12110	2147483647
12111	2147483647
12112	2147483647
12113	2147483647
12114	2147483647
12115	2147483647
12116	2147483647
12117	2147483647
12118	2147483647
12119	2147483647
12120	2147483647
12121	2147483647
12122	2147483647
12123	2147483647
12124	2147483647
12125	2147483647
12126	2147483647
12127	2147483647
12128	2147483647
12129	2147483647
12130	2147483647
12131	2147483647
12132	2147483647
12133	2147483647
12134	2147483647
12135	2147483647
12136	2147483647
12137	2147483647
12138	2147483647
12139	2147483647
12140	2147483647
12141	2147483647
12142	2147483647
12143	2147483647
12144	2147483647
12145	2147483647
12146	2147483647
12147	2147483647
12148	2147483647
12149	2147483647
12150	2147483647
12151	2147483647
12152	2147483647
12153	2147483647
12154	2147483647
12155	2147483647
12156	2147483647
12157	2147483647
12158	2147483647
12159	2147483647
12160	2147483647
12161	2147483647
12162	2147483647
12163	2147483647
12164	2147483647
12165	2147483647
12166	2147483647
12167	2147483647
12168	2147483647
12169	2147483647
12170	2147483647
12171	2147483647
12172	2147483647
12173	2147483647
12174	2147483647
12175	2147483647
12176	2147483647
12177	2147483647
12178	2147483647
12179	2147483647
12180	2147483647
12181	2147483647
12182	2147483647
12183	2147483647
12184	2147483647
12185	2147483647
12186	2147483647
12187	2147483647
12188	2147483647
12189	2147483647
12190	2147483647
12191	2147483647
12192	2147483647
12193	2147483647
12194	2147483647
12195	2147483647
12196	2147483647
12197	2147483647
12198	2147483647
12199	2147483647
12200	2147483647
12201	2147483647
12202	2147483647
12203	2147483647
12204	2147483647
12205	2147483647
12206	2147483647
12207	2147483647
12208	2147483647
12209	2147483647
12210	2147483647
12211	2147483647
12212	2147483647
12213	2147483647
12214	2147483647
12215	2147483647
12216	2147483647
12217	2147483647
12218	2147483647
12219	2147483647
12220	2147483647
12221	2147483647
12222	2147483647
12223	2147483647
12224	2147483647
12225	2147483647
12226	2147483647
12227	2147483647
12228	2147483647
12229	2147483647
12230	2147483647
12231	2147483647
12232	2147483647
12233	2147483647
12234	2147483647
12235	2147483647
12236	2147483647
12237	2147483647
12238	2147483647
12239	2147483647
12240	2147483647
12241	2147483647
12242	2147483647
12243	2147483647
12244	2147483647
12245	2147483647
12246	2147483647
12247	2147483647
12248	2147483647
12249	2147483647
12250	2147483647
12251	2147483647
12252	2147483647
12253	2147483647
12254	2147483647
12255	2147483647
12256	2147483647
12257	2147483647
12258	2147483647
12259	2147483647
12260	2147483647
12261	2147483647
12262	2147483647
12263	2147483647
12264	2147483647
12265	2147483647
12266	2147483647
12267	2147483647
12268	2147483647
12269	2147483647
12270	2147483647
12271	2147483647
12272	2147483647
12273	2147483647
12274	2147483647
12275	2147483647
12276	2147483647
12277	2147483647
12278	2147483647
12279	2147483647
12280	2147483647
12281	2147483647
12282	2147483647
12283	2147483647
12284	2147483647
12285	2147483647
12286	2147483647
12287	2147483647
12288	2147483647
12289	2147483647
12290	2147483647
12291	2147483647
12292	2147483647
12293	2147483647
12294	2147483647
12295	2147483647
12296	2147483647
12297	2147483647
12298	2147483647
12299	2147483647
12300	2147483647
12301	2147483647
12302	2147483647
12303	2147483647
12304	2147483647
12305	2147483647
12306	2147483647
12307	2147483647
12308	2147483647
12309	2147483647
12310	2147483647
12311	2147483647
12312	2147483647
12313	2147483647
12314	2147483647
12315	2147483647
12316	2147483647
12317	2147483647
12318	2147483647
12319	2147483647
12320	2147483647
12321	2147483647
12322	2147483647
12323	2147483647
12324	2147483647
12325	2147483647
12326	2147483647
12327	2147483647
12328	2147483647
12329	2147483647
12330	2147483647
12331	2147483647
12332	2147483647
12333	2147483647
12334	2147483647
12335	2147483647
12336	2147483647
12337	2147483647
12338	2147483647
12339	2147483647
12340	2147483647
12341	2147483647
12342	2147483647
12343	2147483647
12344	2147483647
12345	2147483647
12346	2147483647
12347	2147483647
12348	2147483647
12349	2147483647
12350	2147483647
12351	2147483647
12352	2147483647
12353	2147483647
12354	2147483647
12355	2147483647
12356	2147483647
12357	2147483647
12358	2147483647
12359	2147483647
12360	2147483647
12361	2147483647
12362	2147483647
12363	2147483647
12364	2147483647
12365	2147483647
12366	2147483647
12367	2147483647
12368	2147483647
12369	2147483647
12370	2147483647
12371	2147483647
12372	2147483647
12373	2147483647
12374	2147483647
12375	2147483647
12376	2147483647
12377	2147483647
12378	2147483647
12379	2147483647
12380	2147483647
12381	2147483647
12382	2147483647
12383	2147483647
12384	2147483647
12385	2147483647
12386	2147483647
12387	2147483647
12388	2147483647
12389	2147483647
12390	2147483647
12391	2147483647
12392	2147483647
12393	2147483647
12394	2147483647
12395	2147483647
12396	2147483647
12397	2147483647
12398	2147483647
12399	2147483647
12400	2147483647
12401	2147483647
12402	2147483647
12403	2147483647
12404	2147483647
12405	2147483647
12406	2147483647
12407	2147483647
12408	2147483647
12409	2147483647
12410	2147483647
12411	2147483647
12412	2147483647
12413	2147483647
12414	2147483647
12415	2147483647
12416	2147483647
12417	2147483647
12418	2147483647
12419	2147483647
12420	2147483647
12421	2147483647
12422	2147483647
12423	2147483647
12424	2147483647
12425	2147483647
12426	2147483647
12427	2147483647
12428	2147483647
12429	2147483647
12430	2147483647
12431	2147483647
12432	2147483647
12433	2147483647
12434	2147483647
12435	2147483647
12436	2147483647
12437	2147483647
12438	2147483647
12439	2147483647
12440	2147483647
12441	2147483647
12442	2147483647
12443	2147483647
12444	2147483647
12445	2147483647
12446	2147483647
12447	2147483647
12448	2147483647
12449	2147483647
12450	2147483647
12451	2147483647
12452	2147483647
12453	2147483647
12454	2147483647
12455	2147483647
12456	2147483647
12457	2147483647
12458	2147483647
12459	2147483647
12460	2147483647
12461	2147483647
12462	2147483647
12463	2147483647
12464	2147483647
12465	2147483647
12466	2147483647
12467	2147483647
12468	2147483647
12469	2147483647
12470	2147483647
12471	2147483647
12472	2147483647
12473	2147483647
12474	2147483647
12475	2147483647
12476	2147483647
12477	2147483647
12478	2147483647
12479	2147483647
12480	2147483647
12481	2147483647
12482	2147483647
12483	2147483647
12484	2147483647
12485	2147483647
12486	2147483647
12487	2147483647
12488	2147483647
12489	2147483647
12490	2147483647
12491	2147483647
12492	2147483647
12493	2147483647
12494	2147483647
12495	2147483647
12496	2147483647
12497	2147483647
12498	2147483647
12499	2147483647
12500	2147483647
12501	2147483647
12502	2147483647
12503	2147483647
12504	2147483647
12505	2147483647
12506	2147483647
12507	2147483647
12508	2147483647
12509	2147483647
12510	2147483647
12511	2147483647
12512	2147483647
12513	2147483647
12514	2147483647
12515	2147483647
12516	2147483647
12517	2147483647
12518	2147483647
12519	2147483647
12520	2147483647
12521	2147483647
12522	2147483647
12523	2147483647
12524	2147483647
12525	2147483647
12526	2147483647
12527	2147483647
12528	2147483647
12529	2147483647
12530	2147483647
12531	2147483647
12532	2147483647
12533	2147483647
12534	2147483647
12535	2147483647
12536	2147483647
12537	2147483647
12538	2147483647
12539	2147483647
12540	2147483647
12541	2147483647
12542	2147483647
12543	2147483647
12544	2147483647
12545	2147483647
12546	2147483647
12547	2147483647
12548	2147483647
12549	2147483647
12550	2147483647
12551	2147483647
12552	2147483647
12553	2147483647
12554	2147483647
12555	2147483647
12556	2147483647
12557	2147483647
12558	2147483647
12559	2147483647
12560	2147483647
12561	2147483647
12562	2147483647
12563	2147483647
12564	2147483647
12565	2147483647
12566	2147483647
12567	2147483647
12568	2147483647
12569	2147483647
12570	2147483647
12571	2147483647
12572	2147483647
12573	2147483647
12574	2147483647
12575	2147483647
12576	2147483647
12577	2147483647
12578	2147483647
12579	2147483647
12580	2147483647
12581	2147483647
12582	2147483647
12583	2147483647
12584	2147483647
12585	2147483647
12586	2147483647
12587	2147483647
12588	2147483647
12589	2147483647
12590	2147483647
12591	2147483647
12592	2147483647
12593	2147483647
12594	2147483647
12595	2147483647
12596	2147483647
12597	2147483647
12598	2147483647
12599	2147483647
12600	2147483647
12601	2147483647
12602	2147483647
12603	2147483647
12604	2147483647
12605	2147483647
12606	2147483647
12607	2147483647
12608	2147483647
12609	2147483647
12610	2147483647
12611	2147483647
12612	2147483647
12613	2147483647
12614	2147483647
12615	2147483647
12616	2147483647
12617	2147483647
12618	2147483647
12619	2147483647
12620	2147483647
12621	2147483647
12622	2147483647
12623	2147483647
12624	2147483647
12625	2147483647
12626	2147483647
12627	2147483647
12628	2147483647
12629	2147483647
12630	2147483647
12631	2147483647
12632	2147483647
12633	2147483647
12634	2147483647
12635	2147483647
12636	2147483647
12637	2147483647
12638	2147483647
12639	2147483647
12640	2147483647
12641	2147483647
12642	2147483647
12643	2147483647
12644	2147483647
12645	2147483647
12646	2147483647
12647	2147483647
12648	2147483647
12649	2147483647
12650	2147483647
12651	2147483647
12652	2147483647
12653	2147483647
12654	2147483647
12655	2147483647
12656	2147483647
12657	2147483647
12658	2147483647
12659	2147483647
12660	2147483647
12661	2147483647
12662	2147483647
12663	2147483647
12664	2147483647
12665	2147483647
12666	2147483647
12667	2147483647
12668	2147483647
12669	2147483647
12670	2147483647
12671	2147483647
12672	2147483647
12673	2147483647
12674	2147483647
12675	2147483647
12676	2147483647
12677	2147483647
12678	2147483647
12679	2147483647
12680	2147483647
12681	2147483647
12682	2147483647
12683	2147483647
12684	2147483647
12685	2147483647
12686	2147483647
12687	2147483647
12688	2147483647
12689	2147483647
12690	2147483647
12691	2147483647
12692	2147483647
12693	2147483647
12694	2147483647
12695	2147483647
12696	2147483647
12697	2147483647
